code,name,address,latitude,longitude,is_active
10519,"DISPENSARIO 10519 (FFAA)","CARRERA 58 # 9 - 67 PUENTE ARANDA",4.62868300000000000,-74.11414600000000000,1
10520,"DISPENSARIO 10520 (FFAA)","CARRERA 18 # 143 - 39 BARRIO CONTADOR",4.72492700000000000,-74.04447600000000000,1
10521,"DISPENSARIO 10521 (FFAA)","CARRERA 58 # 9 - 67",4.62868300000000000,-74.11414600000000000,1
10522,"DISPENSARIO 10522 (FFAA)","TRANSVERSAL 3 # 49 - 02",4.63507500000000000,-74.06196000000000000,1
10526,"DISPENSARIO 10526 - FACATATIVA (FF.MM)","Batallon de comunicaciones Callle 5 # 15 - 00",4.82071015979812940,-74.34722480414725000,1
10531,"DISPENSARIO 10531 (FFAA)","CARRERA 5 # 2 - 92 SUR BARRIO LA VIRGEN",4.72727600000000000,-74.27076700000000000,1
10533,"DISPENSARIO 10533 (FFAA)","KM1 VÍA MELGAR BOGOTÁ, BASE AÉREA LUIS F. PINTO  CACOM 4",4.21475700000000000,-74.63490900000000000,1
10550,"DISPENSARIO 10550 (FFAA)","KM 1 VÍA BOGOTÁ - SOCORRO",6.46442200000000000,-73.26513800000000000,1
10570,"DISPENSARIO 10570","CALLE 151 #18A -37",4.73267397261696200,-74.04413710000000000,1
10571,"DISPENSARIO 10571","CRA 82A # 6 - 16 LOC 32 CC CIAL TABAKU DE LAS AMERICAS",4.63870129145355800,-74.15464321000000000,1
10572,"DISPENSARIO 10572","CALLE 80 # 89A - 40 CENTRO CCIAL PRIMAVERA LOCAL 108",4.70484451736293700,-74.10344305000000000,1
10573,"DISPENSARIO 10573","CARRERA 69C # 6C - 26 (BARRIO MARSELLA)",4.63123026902834600,-74.12909900000000000,1
10574,"DISPENSARIO 10574","AC 26 SUR # 71D - 77 LOCAL 105",4.63121933900000000,-74.12910651000000000,1
10583,"UNIDOSIS (CEDIS INSTITUCIONAL COTA)","Autopista medellín Km 3.5 Cent. Emp. Metropolitano Bod 53-54",4.68096280,-74.06470990,1
11006,"LOCAL POR NEGOCIAR ESMERALDA","kr 57 # 44 -22",4.64672002000000000,-74.09299088000000000,1
11007,"LOCAL POR NEGOCIAR NORTE","Calle 116  No 70D-06",4.69913669000000000,-74.07416890000000000,1
11008,"LOCAL POR NEGOCIAR BOSA","Cll 49 sur # 93d -07",4.63874590000000000,-74.18199123000000000,1
11009,"LOCAL POR NEGOCIAR KENNEDY BANDERAS","CALLE 41 No 78B -28",4.61903966000000000,-74.15636740000000000,1
11010,"LOCAL POR NEGOCIAR KENNEDY SUR (BOMBEROS)","CALLE 41D No 78N-05",4.62032312000000000,-74.15946414000000000,1
11011,"LOCAL POR NEGOCIAR SAN ANTONIO SUR","CRA 13A No 2 - 75 sur",4.59360895000000000,-74.08690123000000000,1
